pri_miRNA	mature_miRNA	transcript	RBP	value
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	LIN28A	1.743679163034
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	LIN28B	0.711743772241993
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	ZCCHC11	2.26337448559671
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	ZCCHC6	2.55102040816327
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	HNRNPL	5.87283131648289
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	STRBP	12.4588563914257
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	NUDT16L1	6.18994024341069
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	GRSF1	10.3699851569852
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	HNRNPF	3.87223897857948
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	HNRNPH1	2.73260152284795
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	HNRNPH2	4.55045832419122
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	HNRNPH3	5.21560316260472
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	ADARB1	13.7827006876996
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	ESRP1	4.54174321290059
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	TRMT10C	0
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	RBM4	1.7954822954823
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	RBM4B	0
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	RBM12B	0
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	SLTM	0
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	SAFB	3.57142857142857
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	FUS	1.48828582543482
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	TAF15	1.76361692190696
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	RBM14	1.25914047740802
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	DDX1	2.85308955576863
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	APOBEC3B	0.646120049105124
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	RTCB	2.92047067449336
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	DDX23	0
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	RBM47	0
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	PRMT1	1.37275759868442
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	RBM6	0
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	SUGP1	0
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	PLRG1	0
hsa-let-7a-1	hsa-let-7a	RP11-2B6.3	CDC5L	0
